,name_other,name_cmc,ticker_symbol_cmc,token_type,vc_support_blockchain_specialist,vc_support_general,registration_country,legal_structure,industry,celebrity_endorsement,ico_successful,investors_have_governance_rights,kyc/aml_procedure,legal_form_and_jurisdiction_known,"length_of_crowdsale_(calendar_days,_actual)",team_size,time_to_listing_(calendar_days),total_amount_raised_(usdm),use_of_proceeds_mentioned,whitepaper_page_count,is_active
148,Databits,Databits,DTB,Utility-token,No,No,South Africa,joint-stock corporation,Video Games & VR,0,1.0,0,0,1,30,,30.0,1.0,0,0.0,0
149,Datum,Datum,DAT,Utility-token,No,No,Switzerland,limited liability partnership,Commerce & Advertising,0,1.0,0,1,1,32,12.0,16.0,7.0,1,37.0,0
151,DCORP,DCORP,DRP,Security,No,No,Netherlands,limited liability partnership,Finance,0,1.0,1,0,1,29,4.0,133.0,5.0,1,26.0,0
152,Debitum Network (DBT),Debitum,DEB,Utility-token,No,No,Gibraltar,joint-stock corporation,Finance,0,1.0,0,1,1,82,12.0,15.0,21.0,1,88.0,1
155,DECENT,DECENT,DCT,Utility-token,Digital Currency Group,Foundation Capital,Switzerland,foundation,Content Management,0,1.0,0,0,1,57,26.0,34.0,4.0,1,21.0,1
158,Decentraland,Decentraland,MANA,Utility-token,Kenetic Capital,No,Cayman Islands,joint-stock corporation,Video Games & VR,0,1.0,0,0,1,1,8.0,31.0,26.0,1,15.0,1
160,Devery,Devery,EVE,Utility-token,No,No,Cayman Islands,unknown,Privacy & Security,0,1.0,0,1,0,37,5.0,5.0,10.0,0,11.0,1
162,DigixDAO,DigixDAO,DGD,Security,No,No,Singapore,joint-stock corporation,Finance,0,1.0,1,0,1,1,,19.0,6.0,1,22.0,1
164,DIMCOIN,DIMCOIN,DIM,Security,No,No,Singapore,joint-stock corporation,Trading & Exchanges,0,1.0,1,0,1,59,20.0,121.0,14.0,1,71.0,0
165,district0x,district0x,DNT,Utility-token,BoostVC; Fintech Blockchain Group; CoinFund,No,United States,joint-stock corporation,Marketplaces,0,1.0,1,0,1,15,3.0,2.0,10.0,1,23.0,1
167,Divi,Divi,DIVX,Cryptocurrency,No,No,unknown,unknown,Payments,0,1.0,1,0,0,30,7.0,2.0,3.0,1,21.0,0
168,DMarket,DMarket,DMT,New Blockchain,Pantera Capital,No,Gibraltar,joint-stock corporation,Video Games & VR,0,1.0,0,1,1,30,80.0,67.0,19.0,1,29.0,1
173,Dock.io (DOCK),Dock,DOCK,Utility-token,No,Liquid2; Passport Capital,United States,joint-stock corporation,Marketplaces,0,1.0,1,1,1,1,12.0,63.0,20.0,1,25.0,1
174,DomRaider,DomRaider,DRT,New Blockchain,No,No,France,joint-stock corporation,Payments,0,1.0,0,1,1,30,33.0,10.0,31.0,1,127.0,1
176,Dovu,Dovu,DOV,Utility-token,No,No,United Kingdom,joint-stock corporation,Marketplaces,0,1.0,0,1,1,15,7.0,11.0,1.0,1,23.0,1
