,id,name,symbol,slug,rank,displayTV,is_active,first_historical_data,last_historical_data,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,platform
213,21746,GET,GET,get,3681.0,1,1,2022-09-08T10:39:00.000Z,2022-10-28T09:59:00.000Z,1027.0,Ethereum,ETH,ethereum,0xcc1f757e3fa67b70e761c71f4b75b1e9f72263af,
214,3127,Themis,GET,themis,,1,0,2018-08-09T23:24:23.000Z,2022-07-27T18:29:00.000Z,1027.0,Ethereum,ETH,ethereum,0x60c68a87be1e8a84144b543aacfa77199cd3d024,
215,7160,Gire Token,GET,gire-token,,1,0,2020-09-24T06:25:00.000Z,2021-11-07T18:25:11.000Z,,,,,,
216,2534,Gladius Token,GLA,gladius-token,,1,0,2018-02-17T21:24:20.000Z,2019-03-07T23:59:04.000Z,1027.0,Ethereum,ETH,ethereum,0x71D01dB8d6a2fBEa7f8d434599C237980C234e4C,
217,12039,Galaxy Adventure,GLA,galaxy-adventure,,1,0,2021-09-21T19:06:31.000Z,2021-11-29T18:16:09.000Z,1839.0,BNB,BNB,bnb,0x292Bb969737372E48D97C78c19B6a40347C33B45,
218,18069,STEPN,GMT,green-metaverse-token,114.0,1,1,2022-03-09T13:07:00.000Z,2022-10-28T09:57:00.000Z,1839.0,BNB,BNB,bnb,0x3019BF2a2eF8040C242C9a4c5c4BD4C81678b2A1,
219,10180,GMT Token,GMT,gomining-token,520.0,1,1,2021-06-01T02:33:18.000Z,2022-10-28T09:58:00.000Z,1027.0,Ethereum,ETH,ethereum,0x7Ddc52c4De30e94Be3A6A0A2b259b2850f421989,
220,2098,Mercury Protocol,GMT,mercury-protocol,,1,0,2017-10-26T20:59:28.000Z,2018-10-24T00:23:54.000Z,1027.0,Ethereum,ETH,ethereum,0xb3bd49e28f8f832b8d1e246106991e546c323502,
221,9203,Gambit,GMT,gambit-finance,,1,0,2021-04-13T16:33:11.000Z,2022-10-05T18:24:00.000Z,1839.0,BNB,BNB,bnb,0x99e92123eB77Bc8f999316f622e5222498438784,
222,18487,GreekMythology,GMT,greekmythology,,1,0,2022-03-02T04:14:00.000Z,2022-03-27T18:29:00.000Z,1839.0,BNB,BNB,bnb,0x7a59ce9c4248f8b078fd96d9965e6e5dc8e6f0a8,
223,1659,Gnosis,GNO,gnosis-gno,105.0,1,1,2017-05-01T20:09:54.000Z,2022-10-28T09:59:00.000Z,1027.0,Ethereum,ETH,ethereum,0x6810e776880c02933d47db1b9fc05908e5386b96,
224,9533,GreenTrust,GNT,greentrust,6670.0,1,1,2021-05-03T05:07:05.000Z,2022-10-28T09:57:00.000Z,1839.0,BNB,BNB,bnb,0xf750a26eb0acf95556e8529e72ed530f3b60f348,
225,2291,Genaro Network,GNX,genaro-network,1197.0,1,1,2017-12-18T23:55:11.000Z,2022-10-28T09:59:00.000Z,1027.0,Ethereum,ETH,ethereum,0x6ec8a24cabdc339a06a172f8223ea557055adaa5,
226,11928,Greenex,GNX,greenex,,1,0,2021-09-16T22:39:07.000Z,2022-05-21T18:24:00.000Z,1839.0,BNB,BNB,bnb,0x8d8f4d3a7d5a69d7163d8a325b01deab180177c3,
227,2134,Grid+,GRID,grid,815.0,1,1,2017-11-01T18:49:28.000Z,2022-10-28T09:59:00.000Z,1027.0,Ethereum,ETH,ethereum,0x12b19d3e2ccc14da04fae33e63652ce469b3f2fd,
228,822,GridPay,GRID,gridpay,,1,0,2015-02-22T02:29:25.000Z,2016-08-28T07:24:17.000Z,,,,,,
229,2289,Gifto,GTO,gifto,601.0,1,1,2017-12-18T17:00:20.000Z,2022-10-28T09:59:00.000Z,1839.0,BNB,BNB,bnb,GTO-908,
230,1616,Matchpool,GUP,guppy,,1,0,2017-04-11T19:44:47.000Z,2021-01-07T11:24:05.000Z,1027.0,Ethereum,ETH,ethereum,0xf7b098298f7c69fc14610bf71d5e02c60792894c,
231,2697,Hade Platform,HADE,hade-platform,,1,0,2018-05-02T22:34:25.000Z,2018-06-09T04:09:47.000Z,1027.0,Ethereum,ETH,ethereum,0x7b171c08d812f9c642dcf61f7e080610cbca64b3,
232,2031,Hubii Network,HBT,hubii-network,,1,0,2017-10-09T02:54:23.000Z,2021-10-11T09:54:22.000Z,1027.0,Ethereum,ETH,ethereum,0xdd6c68bb32462e01705011a4e2ad1a60740f217f,
233,8946,Habitat,HBT,habitat,,1,0,2021-03-25T16:05:10.000Z,2021-12-29T00:20:10.000Z,1027.0,Ethereum,ETH,ethereum,0x0ace32f6e87ac1457a5385f8eb0208f37263b415,
234,2999,Hdac,HDAC,hdac,,1,0,2018-08-01T19:09:27.000Z,2022-03-03T18:29:00.000Z,,,,,,
235,10778,Metahero,HERO,metahero,591.0,1,1,2021-07-07T06:18:06.000Z,2022-10-28T09:58:00.000Z,1839.0,BNB,BNB,bnb,0xD40bEDb44C081D2935eebA6eF5a3c8A31A1bBE13,
